npi,NPPES Deactivation Date
1851989388,03-01-2023
1619579919,03-01-2023
1790383479,03-01-2023
1639784572,03-01-2023
1477165769,03-01-2023
1881204279,03-01-2023
1891312997,03-01-2023
1215561220,03-01-2023
1922629641,03-01-2023
1871125682,03-01-2023
1588200646,03-01-2023
1063050508,03-01-2023
1285283713,03-01-2023
1639725948,03-01-2023
1699330134,03-01-2023
1891258794,03-01-2023
1760941173,03-01-2023
1831656859,03-01-2023
1366913568,03-01-2023
1215405923,03-01-2023
1023573334,03-01-2023
1598249328,03-01-2023
1831671569,03-01-2023
1518445725,03-01-2023
1447731856,03-01-2023
1467947820,03-01-2023
1740776301,03-01-2023
1801380209,03-01-2023
1245735158,03-01-2023
1235630336,03-01-2023
1538669924,03-01-2023
1336648583,03-01-2023
1215443890,03-01-2023
1669982344,03-01-2023
1871023721,03-01-2023
1225553407,03-01-2023
1396273421,03-01-2023
1194274357,03-01-2023
1245771492,03-01-2023
1578019428,03-01-2023
1255887642,03-01-2023
1710333240,03-01-2023
1629437454,03-01-2023
1740654003,03-01-2023
1164896312,03-01-2023
1154794485,03-01-2023
1699147918,03-01-2023
1497123947,03-01-2023
1275919128,03-01-2023
1073998035,03-01-2023
1790166619,03-01-2023
1356723795,03-01-2023
1811376239,03-01-2023
1437536919,03-01-2023
1386042836,03-01-2023
1790182897,03-01-2023
1295131365,03-01-2023
1336544147,03-01-2023
1609270768,03-01-2023
1003225517,03-01-2023
1164830923,03-01-2023
1801208566,03-01-2023
1891106852,03-01-2023
1003226895,03-01-2023
1114344686,03-01-2023
1952736118,03-01-2023
1881018216,03-01-2023
1962837484,03-01-2023
1013358084,03-01-2023
1558707893,03-01-2023
1336583483,03-01-2023
1710227657,03-01-2023
1609219351,03-01-2023
1902147796,03-01-2023
1386983781,03-01-2023
1649515628,03-01-2023
1710221411,03-01-2023
1417205360,03-01-2023
1316295355,03-01-2023
1528315462,03-01-2023
1821344698,03-01-2023
1487929576,03-01-2023
1255693446,03-01-2023
1720334618,03-01-2023
1972862795,03-01-2023
1306105242,03-01-2023
1184997371,03-01-2023
1851659478,03-01-2023
1225300403,03-01-2023
1669743142,03-01-2023
1003182353,03-01-2023
1205106416,03-01-2023
1790053205,03-01-2023
1932477841,03-01-2023
1205111903,03-01-2023
1235406901,03-01-2023
1639466600,03-01-2023
1588944888,03-01-2023
1699074559,03-01-2023
1053603621,03-01-2023
1477846509,03-01-2023
1295034718,03-01-2023
1003109463,03-01-2023
1427348184,03-01-2023
1679864052,03-01-2023
1083919930,03-01-2023
1588968523,03-01-2023
1609171420,03-01-2023
1760787741,03-01-2023
1578873188,03-01-2023
1588960876,03-01-2023
1316254147,03-01-2023
1699078014,03-01-2023
1508183401,03-01-2023
1619295854,03-01-2023
1851605141,03-01-2023
1528389491,03-01-2023
1205154085,03-01-2023
1912225327,03-01-2023
1912218645,03-01-2023
1023335650,03-01-2023
1215252572,03-01-2023
1720301294,03-01-2023
1043535198,03-01-2023
1295051712,03-01-2023
1770814733,03-01-2023
1194054676,03-01-2023
1861722936,03-01-2023
1609191709,03-01-2023
1588994453,03-01-2023
1508192576,03-01-2023
1053543744,03-01-2023
1881929198,03-01-2023
1467684837,03-01-2023
1396978045,03-01-2023
1568798858,03-01-2023
1063749737,03-01-2023
1467687251,03-01-2023
1295961639,03-01-2023
1174750186,03-01-2023
1396987384,03-01-2023
1386872133,03-01-2023
1568697001,03-01-2023
1598908998,03-01-2023
1407082779,03-01-2023
1962638841,03-01-2023
1477793826,03-01-2023
1245479468,03-01-2023
1770737348,03-01-2023
1366687410,03-01-2023
1114169075,03-01-2023
1124269253,03-01-2023
1841435005,03-01-2023
1285873273,03-01-2023
1427297936,03-01-2023
1700025145,03-01-2023
1992943245,03-01-2023
1841449774,03-01-2023
1538314984,03-01-2023
1285885749,03-01-2023
1417101072,03-01-2023
